pmid,journal,doi,publisher
33504803,Nat Commun,10.1038/s41467-021-20930-0,Springer Science and Business Media LLC
15672442,J Neurosci Res,10.1002/jnr.20396,Wiley
21490275,Sci Transl Med,10.1126/scitranslmed.3001374,American Association for the Advancement of Science (AAAS)
11472891,Bone,10.1016/s8756-3282(01)00470-7,Elsevier BV
31813797,Dev Cell,10.1016/j.devcel.2019.10.025,Elsevier BV
35421609,Biochim Biophys Acta Proteins Proteom,10.1016/j.bbapap.2022.140781,Elsevier BV
30293127,Transgenic Res,10.1007/s11248-018-0097-7,Springer Science and Business Media LLC
29718378,J Infect Dis,10.1093/infdis/jiy250,Oxford University Press (OUP)
22031943,J Virol,10.1128/JVI.05354-11,American Society for Microbiology
18386936,Nano Lett,10.1021/nl073144l,American Chemical Society (ACS)
22549772,J Biol Chem,10.1074/jbc.M112.370387,Elsevier BV
27510922,Nat Commun,10.1038/ncomms12420,Springer Science and Business Media LLC
27027998,Cell Cycle,10.1080/15384101.2016.1147631,Informa UK Limited
26771574,Am J Respir Cell Mol Biol,10.1165/rcmb.2015-0219OC,American Thoracic Society
17510231,Endocrinology,10.1210/en.2006-1737,The Endocrine Society
23595672,Met Ions Life Sci,10.1007/978-94-007-5561-1_5,Springer Netherlands
22860026,PLoS One,10.1371/journal.pone.0041897,Public Library of Science (PLoS)
30272359,Mol Med Rep,10.3892/mmr.2018.9511,Spandidos Publications
10873480,Methods,10.1006/meth.2000.1006,Elsevier BV
26226135,PLoS One,10.1371/journal.pone.0134425,Public Library of Science (PLoS)
10683175,Development,10.1242/dev.127.6.1221,The Company of Biologists
33538041,Rapid Commun Mass Spectrom,10.1002/rcm.9063,Wiley
36750663,Commun Biol,10.1038/s42003-023-04506-w,Springer Science and Business Media LLC
33718983,Mol Genet Genomics,10.1007/s00438-021-01773-2,Springer Science and Business Media LLC
18439261,BMC Syst Biol,10.1186/1752-0509-2-38,Springer Science and Business Media LLC
31964740,mBio,10.1128/mBio.03117-19,American Society for Microbiology
12419248,Cell,10.1016/s0092-8674(02)01077-2,Elsevier BV
28625782,Curr Biol,10.1016/j.cub.2017.05.065,Elsevier BV
29499565,Redox Biol,10.1016/j.redox.2018.02.016,Elsevier BV
37857526,J Immunother Cancer,10.1136/jitc-2023-006966,BMJ
24501395,Database (Oxford),10.1093/database/bat085,Oxford University Press (OUP)
26985028,J Neurosci,10.1523/JNEUROSCI.1912-15.2016,Society for Neuroscience
29645031,Chem Commun (Camb),10.1039/c8cc01931b,Royal Society of Chemistry (RSC)
38092323,Genomics,10.1016/j.ygeno.2023.110761,Elsevier BV
21875596,J Mol Biol,10.1016/j.jmb.2011.08.034,Elsevier BV
16514659,J Cell Biochem,10.1002/jcb.20869,Wiley
21569817,Food Chem Toxicol,10.1016/j.fct.2011.04.034,Elsevier BV
24289149,Vet Dermatol,10.1111/vde.12093,Wiley
25617208,J Mol Model,10.1007/s00894-014-2556-2,Springer Science and Business Media LLC
28922415,PLoS Pathog,10.1371/journal.ppat.1006632,Public Library of Science (PLoS)
26070559,J Biol Chem,10.1074/jbc.M115.637389,Elsevier BV
29313971,Int J Cancer,10.1002/ijc.31244,Wiley
26889679,PLoS Biol,10.1371/journal.pbio.1002366,Public Library of Science (PLoS)
21403644,Lab Invest,10.1038/labinvest.2011.43,Elsevier BV
17472959,J Biol Chem,10.1074/jbc.M702906200,Elsevier BV
33872658,Dev Comp Immunol,10.1016/j.dci.2021.104105,Elsevier BV
12894873,Arch Immunol Ther Exp (Warsz),,
33929896,Am J Physiol Heart Circ Physiol,10.1152/ajpheart.00798.2020,American Physiological Society
30265660,PLoS Genet,10.1371/journal.pgen.1007693,Public Library of Science (PLoS)
19524299,Mol Immunol,10.1016/j.molimm.2009.04.036,Elsevier BV
25130703,Int J Med Microbiol,10.1016/j.ijmm.2014.07.007,Elsevier BV
21968275,Med Hypotheses,10.1016/j.mehy.2011.09.028,Elsevier BV
